"Suite","Benchmark","BeforeNs","AfterNs","DeltaPct","BeforeB","AfterB","BeforeAlloc","AfterAlloc","BeforeMin","BeforeMax","AfterMin","AfterMax"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/DefaultRules_EmailCorpus4096_Long_NoResultCache-8","46633","52463","12.5","240","240","1","1","41771","55421","43827","52547"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/DefaultRules_EmailCorpus4096_Short_Warm-8","2912","2883","-1","0","0","0","0","2896","2926","2861","2896"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/DefaultRules_EmailRepeated_Warm-8","2527","2511","-0.63","0","0","0","0","2468","2528","2493","2530"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/DefaultRules_NoMatch-8","1511","1521","0.66","0","0","0","0","1495","1518","1499","1586"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/FieldName_ApplyLegacy-8","89.78","89.95","0.19","0","0","0","0","89.59","89.83","89.86","90.25"
"probes","halolog-allocation-probes/BenchmarkMaskingAllocation/NoRules-8","1.396","1.384","-0.86","0","0","0","0","1.38","1.4","1.376","1.4"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_30Fields/JSON-8","313.5","312.8","-0.22","0","0","0","0","312.1","314.9","312.8","312.8"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_30Fields/Text-8","3.01","3.032","0.73","0","0","0","0","2.995","3.028","3.005","3.051"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_Concurrent/JSON-8","1.487","1.415","-4.84","0","0","0","0","1.441","1.553","1.401","1.528"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_Concurrent/Text-8","0.5555","0.5161","-7.09","0","0","0","0","0.488","0.5746","0.4931","0.5429"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_RealWorld/JSON-8","135.3","140.4","3.77","0","0","0","0","125.9","178.1","122.2","167.2"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_RealWorld/Text-8","12.19","13.56","11.24","0","0","0","0","11.25","12.57","13.22","16.29"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_SimpleMessage/JSON-8","8.568","8.617","0.57","0","0","0","0","8.541","8.717","8.504","9.099"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_SimpleMessage/Text-8","3.015","3.023","0.27","0","0","0","0","3.006","3.034","3.02","3.026"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_Throughput/JSON-8","17.14","21.19","23.63","0","0","0","0","13.88","20.35","17.05","21.29"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_Throughput/Text-8","7.103","6.985","-1.66","0","0","0","0","5.015","7.383","6.444","8.249"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_WithError/JSON-8","8.649","8.47","-2.07","0","0","0","0","8.503","8.782","8.457","8.47"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_WithError/Text-8","2.97","2.967","-0.1","0","0","0","0","2.968","3.145","2.963","3.495"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_WithFields/JSON-8","129.6","130","0.31","0","0","0","0","129","132.2","129.8","130.3"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/BenchmarkFormatterComparison_WithFields/Text-8","3.02","3.022","0.07","0","0","0","0","3.007","3.061","3","3.045"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkAppendJSONString_Clean20-8","11.3","6.819","-39.65","0","0","0","0","9.904","11.81","5.956","6.923"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkAppendJSONString_Clean80-8","26.09","18.76","-28.1","0","0","0","0","20.83","26.1","14.6","20.31"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkAppendJSONString_EscapeAt60-8","33.59","35.69","6.25","0","0","0","0","31.69","41.31","33.66","36.33"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkAppendJSONString_Reference_Clean80-8","32.43","29.56","-8.85","0","0","0","0","31.26","43.73","24.01","31.49"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkDemoOutput-8","67.33","67.49","0.24","0","0","0","0","66.78","67.69","66.92","67.91"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkDetailedAnalysis-8","67.19","68.04","1.27","0","0","0","0","66.91","67.55","67.27","68.07"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_BufferReuse/LargeBuffer-8","15.58","20.87","33.95","0","0","0","0","12.79","19.88","17.33","22.1"
"root","github.com/go-gen-ecosystem/halolog/adapters/formatters/json/BenchmarkOptimizedJSONFormatter_BufferReuse/OptimalBuffer-8","21.16","18.35","-13.28","0","0","0","0","18.87","24.9","16.27","23.23"
