goos: windows
goarch: amd64
pkg: github.com/go-gen-ecosystem/halolog/masking
cpu: Intel(R) Core(TM) Ultra 9 285HX
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1194657	       195.7 ns/op	   5.11 MB/s	     200 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1210947	       196.3 ns/op	   5.10 MB/s	     200 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1227330	       194.5 ns/op	   5.14 MB/s	     200 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1232408	       194.0 ns/op	   5.15 MB/s	     200 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1228629	       196.3 ns/op	   5.10 MB/s	     200 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3153868	        76.87 ns/op	  13.01 MB/s	      33 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3208088	        76.25 ns/op	  13.11 MB/s	      33 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3150288	        76.01 ns/op	  13.16 MB/s	      33 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3180012	        77.31 ns/op	  12.93 MB/s	      33 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3179679	        75.09 ns/op	  13.32 MB/s	      33 B/op	       2 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1000000	       205.5 ns/op	  77.87 MB/s	     272 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1000000	       208.4 ns/op	  76.78 MB/s	     272 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1000000	       205.4 ns/op	  77.89 MB/s	     272 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1000000	       207.6 ns/op	  77.06 MB/s	     272 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1000000	       208.7 ns/op	  76.68 MB/s	     272 B/op	       6 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2535703	        93.52 ns/op	 171.09 MB/s	      80 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2622843	        93.67 ns/op	 170.82 MB/s	      80 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2611675	        91.25 ns/op	 175.34 MB/s	      80 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2624211	        94.88 ns/op	 168.64 MB/s	      80 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2473570	        92.00 ns/op	 173.91 MB/s	      80 B/op	       3 allocs/op
BenchmarkEncryptionWorkloads/bytes128/decrypt=false-8       	  707901	       351.4 ns/op	 364.27 MB/s	     944 B/op	       6 allocs/op
