goos: windows
goarch: amd64
pkg: github.com/go-gen-ecosystem/halolog/masking
cpu: Intel(R) Core(TM) Ultra 9 285HX
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1487306	       160.6 ns/op	   6.23 MB/s	      48 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1480045	       161.7 ns/op	   6.18 MB/s	      48 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1483184	       159.4 ns/op	   6.27 MB/s	      48 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1487562	       162.2 ns/op	   6.17 MB/s	      48 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=false-8         	 1488460	       161.2 ns/op	   6.20 MB/s	      48 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3443610	        68.62 ns/op	  14.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3507760	        70.39 ns/op	  14.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3512103	        68.30 ns/op	  14.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3514861	        68.37 ns/op	  14.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncryptionWorkloads/bytes1/decrypt=true-8          	 3533646	        68.38 ns/op	  14.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1445078	       165.0 ns/op	  96.97 MB/s	      64 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1448263	       165.4 ns/op	  96.74 MB/s	      64 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1437830	       165.1 ns/op	  96.93 MB/s	      64 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1444158	       165.9 ns/op	  96.46 MB/s	      64 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=false-8        	 1448624	       167.4 ns/op	  95.60 MB/s	      64 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2961222	        80.79 ns/op	 198.04 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2964163	        80.81 ns/op	 198.00 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2965832	        81.77 ns/op	 195.66 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2916961	        81.12 ns/op	 197.23 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes16/decrypt=true-8         	 2958418	        82.93 ns/op	 192.94 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes128/decrypt=false-8       	 1000000	       247.7 ns/op	 516.85 MB/s	     224 B/op	       1 allocs/op
BenchmarkEncryptionWorkloads/bytes128/decrypt=false-8       	 1000000	       246.5 ns/op	 519.34 MB/s	     224 B/op	       1 allocs/op
